Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Vice President and Vice Chairman of Board,Lindel M. Foshee,,,2018,Banker,Red Level Financial Corporation,Common Stock,7836,34.02%,
Chief Executive Officer,Lewis M. Foshee,Vice President,"Altus Group,Ltd.",2018,Financial Software Sales Executive,Red Level Financial Corporation,Common Stock,2909,12.63%,
Owner,"Robert H. Foshee,III",,Bullet's Welding & Fabrication,2018,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Vice President,Lindel M. Foshee,Vice Chairman of Board,,2019,Banker,Red Level Financial Corporation,Common Stock,7836,34.02%,
Secretary,Lewis M. Foshee,Vice President,"Altus Group,Ltd.",2019,Financial Software Sales Executive,Red Level Financial Corporation,Common Stock,2909,12.63%,
Treasurer,"Robert H. Foshee,III",Owner,Bullet's Welding & Fabrication,2019,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Treasurer,"Robert H. Foshee,III",Owner,"Foshee Partnership,Ltd.",2019,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Vice President,Lindel M. Foshee,Vice Chairman,,2020,Banker,Red Level Financial Corporation,Common Stock,7836,34.02%,
Director and Secretary,Lewis M. Foshee,Vice President,"Altus Group,Ltd.",2020,Financial Software Sales Executive,Red Level Financial Corporation,Common Stock,2909,12.63%,
Treasurer,"Robert H. Foshee,III",Owner,Bullet's Welding & Fabrication,2020,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Director and Secretary,Lewis M. Foshee,Vice President,"Foshee Partnership,Ltd.",2020,Financial Software Sales Executive,Red Level Financial Corporation,Common Stock,2909,12.63%,
Treasurer,"Robert H. Foshee,III",Owner,"Foshee Partnership,Ltd.",2020,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Vice President,Lindel M. Foshee,Vice Chairman of Board,,2021,Banker,Red Level Financial Corporation,Common Stock,7836,34.02%,
Director and Secretary,Lewis M. Foshee,Vice President,"Altus Group,Ltd.",2021,Financial Software Sales Executive,Red Level Financial Corporation,Common Stock,2909,12.63%,
Director and Treasurer,"Robert H. Foshee,III",Owner,Bullet's Welding & Fabrication,2021,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Director and Treasurer,"Robert H. Foshee,III",Owner,"Foshee Partnership,Ltd.",2021,Business Owner (Welding & Fabrication),Red Level Financial Corporation,Common Stock,2909,12.63%,
Director,Teddy R. Price,CEO & Managing Member,"Central Management Co.,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,President and CEO,Kisatchie Corporation,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Secretary,"Prico,Inc.",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,President,Magnolia Health Care Corporation,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,"Kisatchie Lake Plantation,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Garden Park Nursing & Rehabilitation Center,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Garden Park Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Resthaven Nursing & Rehabilitation Center,L.LC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Resthaven Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Secretary,"Harmony House Nursing & Rehabilitation Center,Inc.",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Registered Agent,Land Leasing Corporation,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,Third & DeSoto LLC,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Close Quarters,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Lagniappe Rehabilitation Services,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Lagniappe Homecare,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,"Lagniappe Homecare Alexandria,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,President & CEO,"Dixie Holdings,Inc.",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,Louise S. Davis LLC,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Gulf South Hospice Services,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,"Brighton Bridge Hospice,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Tango Papa,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,"Versailles Healthcare,LLC dba Matthews Memorial Health Care Center",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Member,"5100 Jackson Street Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Annie Mae Matthews Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,Autumn Leaves Nursing & Rehabilitation Center LLC,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Autumn Leaves Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Magnolia Manor Nursing & Rehabilitation Center,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Magnolia Manor Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Resthaven Nursing & Rehabilitation Center,L.LC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Resthaven Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Behavioral Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Plantation Manor Nursing and Rehabilitation Center,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Plantation Manor Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,Jefferson Manor Nursing and Rehabilitation Center LLC,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,"Jefferson Manor Properties,LLC",2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director,Teddy R. Price,Managing Member,Cypress Point Nursing and Rehabilitation Center LLC,2014,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.11%,
Director and Non - Executive Chairman,John C. Simpson,President and Member,"JCS,LLC",2014,Private Investor,"Red River Bancshares,Inc.",,607120,19.05%,
Director and Non - Executive Chairman,John C. Simpson,Member,S3 Dynamics,2014,Private Investor,"Red River Bancshares,Inc.",,607120,19.05%,
Director,Teddy R. Price,CEO & Managing Member,"Central Management Co.,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,President and CEO,Kisatchie Corporation,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Secretary,"Prico,Inc.",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,President,Magnolia Health Care Corporation,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,"Kisatchie Lake Plantation,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Garden Park Nursing & Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Garden Park Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Resthaven Nursing & Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Resthaven Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Secretary,"Harmony House Nursing & Rehabilitation Center,Inc.",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Registered Agent,Land Leasing Corporation,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,Third & DeSoto LLC,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Close Quarters,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Lagniappe Rehabilitation Services,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Lagniappe Homecare,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,"Lagniappe Homecare Alexandria,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,President & CEO,"Dixie Holdings,Inc.",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,Louise S. Davis LLC,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Gulf South Hospice Services,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,"Brighton Bridge Hospice,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Tango Papa,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,"Versailles Healthcare,LLC dba Matthews Memorial Health Care Center",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Member,"5100 Jackson Street Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Annie Mae Matthews Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,Autumn Leaves Nursing & Rehabilitation Center LLC,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Autumn Leaves Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Magnolia Manor Nursing & Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Magnolia Manor Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Resthaven Nursing & Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Resthaven Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Behavioral Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Plantation Manor Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Plantation Manor Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,Jefferson Manor Nursing and Rehabilitation Center LLC,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Jefferson Manor Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,Cypress Point Nursing and Rehabilitation Center LLC,2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Guest House Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Belle Teche Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Belle Teche Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Landmark of West Monroe Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Landmark Properties of West Monroe,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Forest Haven Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Forest Haven Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Zachary Manor Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Zachary Manor Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Southern Oaks Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Southern Oaks Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Plantation Oaks Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Ascension Oaks Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Naomi Heights Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Fair Oaks Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Hilltop Nursing and Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Colonial Manor Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Roseview Nursing & Rehabilitation Center,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director,Teddy R. Price,Managing Member,"Claiborne & Mansfield Properties,LLC",2015,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,194548,6.09%,2743235
Director and Non-Executive Chairman,John C. Simpson,President,"JCS,LLC",2015,Private Investor,"Red River Bancshares,Inc.",,607120,19.00%,2743235
Director and Non-Executive Chairman,John C. Simpson,Member,"S3 Dynamics,LP.",2015,Private Investor,"Red River Bancshares,Inc.",,607120,19.00%,2743235
Director and Non-Executive Chairman,John C. Simpson,Member,"S3 Management,L.L.C.",2015,Private Investor,"Red River Bancshares,Inc.",,607120,19.00%,2743235
Director,Teddy R. Price,CEO & Managing Member,"Central Management Co.,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,President and CEO,Kisatchie Corporation,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,President,Magnolia Health Care Corporation,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Secretary,"Prico,Inc.",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"Kisatchie Lake Plantation,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Garden Park Nursing & Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Garden Park Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Resthaven Nursing & Rehabilitation Center,L.LC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Resthaven Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Secretary,"Harmony House Nursing & Rehabilitation Center,Inc.",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Registered Agent,Land Leasing Corporation,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,Third & DeSoto LLC,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Close Quarters,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Lagniappe Rehabilitation Services,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Lagniappe Homecare,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"Lagniappe Homecare Alexandria,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,President,Lagniappe Health Corporation,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,President,"Lagniappe Homecare Northern Louisiana,Inc.",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,President & CEO,"Dixie Holdings,Inc.",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,Louise S. Davis LLC,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Gulf South Hospice Services,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"Brighton Bridge Hospice,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Tango Papa,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Central Pharmacy,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"Healthcare Pharmacy,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"Versailles Healthcare,LLC dba Matthews Memorial Health Care Center",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Member,"5100 Jackson Street Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Annie Mae Matthews Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,Autumn Leaves Nursing & Rehabilitation Center LLC,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Autumn Leaves Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Magnolia Manor Nursing & Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Magnolia Manor Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Behavioral Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Plantation Manor Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Plantation Manor Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,Jefferson Manor Nursing and Rehabilitation Center LLC,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Jefferson Manor Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,Cypress Point Nursing and Rehabilitation Center LLC,2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Guest House Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Belle Teche Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Belle Teche Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Landmark of West Monroe Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Landmark Properties of West Monroe,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Forest Haven Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Forest Haven Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Zachary Manor Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Zachary Manor Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Southern Oaks Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Southern Oaks Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Plantation Oaks Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Ascension Oaks Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Naomi Heights Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Fair Oaks Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Hilltop Nursing and Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Colonial Manor Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Roseview Nursing & Rehabilitation Center,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Managing Member,"Claiborne & Mansfield Properties,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,Registered Agent,"Kisatchie Industries,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director,Teddy R. Price,,"Guardian Hospice,LLC",2017,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,196348,5.84%,
Director and Non - Executive Chairman,John C. Simpson,President,"JCS,LLC",2017,Private Investor,"Red River Bancshares,Inc.",,612520,18.23%,
Director and Non - Executive Chairman,John C. Simpson,Member,"S3 Dynamics,L.P.",2017,Private Investor,"Red River Bancshares,Inc.",,612520,18.23%,
Director and Non - Executive Chairman,John C. Simpson,Member,"S3 Management,L.L.C.",2017,Private Investor,"Red River Bancshares,Inc.",,612520,18.23%,
Director,Teddy R. Price,CEO & Managing Member,"Central Management Co.,LLC",2018,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,392972,5.93%,
Director,Teddy R. Price,President and CEO,Kisatchie Corporation,2018,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,392972,5.93%,
Director,Teddy R. Price,Secretary,"Prico,Inc.",2018,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,392972,5.93%,
Director,Teddy R. Price,President,Magnolia Health Care Corporation,2018,Long Term Care Facilities Management,"Red River Bancshares,Inc.",,392972,5.93%,
