Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
Putnam-Greene Financial Corporation,,ann fitzpatrick,2020,,Common Stock,172276,0.158
"PEOPLES BANKTRUST,INC.","EVP/CLO,PB&T",ted williams,2014,346654,Common Stock,86500,0.0947
"Persons Banking Co.,Inc.",Director,katherine p. kelly,2015,1081314,voting common stock,3771.25,0.0
"Persons Banking Co.,Inc.",Chairman,"g. ogden persons,iii",2015,1081314,voting common stock,6867.75,0.0
"Persons Banking Co.,Inc.",President & CEO,"g. ogden persons,iii",2015,1081314,voting common stock,6867.75,0.0
"Persons Banking Co.,Inc.",Director,"g. ogden persons,iii",2015,1081314,voting common stock,6867.75,0.0
"Persons Banking Co.,Inc.",Director,james g. persons,2015,1081314,voting common stock,3922.25,0.0
"Persons Banking Co.,Inc.",,persons family trust,2015,1081314,voting common stock,16397.00,1.0
"Persons Banking Co.,Inc.",,persons family trust,2015,1081314,non-voting common stock,3418.00,1.0
"Persons Banking Co.,Inc.",Director,katherine p. kelly,2019,,common stock,3771.25,0.0593
"Persons Banking Co.,Inc.","Chairman,President & CEO","g. ogden persons,iii",2019,,common stock,6867.75,0.1024
"Persons Banking Co.,Inc.",Director,"g. ogden persons,iii",2019,,common stock,6867.75,0.1024
"Persons Banking Co.,Inc.",Director,james g. persons,2019,,common stock,3922.25,0.075
"Persons Banking Co.,Inc.",Principal shareholder,persons family trust,2019,,common stock,36933.00,0.5142
"Persons Banking Co.,Inc.",Director,kenneth r lehman,2019,,common stock,17890.00,0.2491
Plaquemine Bank & Trust Company,Director,frances d. durand,2014,1086355,Common Stock,4000,0.073685
Plaquemine Bank & Trust Company,Director & Chairman/ President/CEO,stephen panepinto,2014,1086355,Common Stock,23356,0.43024799999999996
Putnam-Greene Financial Corporation,Director President,"l.o. chip benton,iv",2014,,Common Stock,161692,0.14800000000000002
Putnam-Greene Financial Corporation,Principal Shareholder,ann fitzpatrick,2014,,Common Stock,172276,0.158
Putnam-Greene Financial Corporation,Director,"j.s. blackwell,jr.",2014,,,14280,0.01
QUANTUM CAPITAL CORP,,infinity trust,2015,2354369,Common Stock,481711,0.8390000000000001
QUANTUM CAPITAL CORP,,infinity trust,2016,,Common Stock,481711,0.7879999999999999
Quantum Capital Corporation,,infinity trust,2017,,Common Stock,481711,0.8390000000000001
Quantum Capital Corp,,infinity trust,2018,,Common Stock,481711,0.8390000000000001
Quantum Capital Corporation,,infinity trust,2021,,Common Stock,481711,0.8390000000000001
The Queensborough Company,,lillian a. easterlin,2014,,,193610,0.1516
The Queensborough Company,,lillian a. easterlin,2015,,common shares,189610,0.1482
The Queensborough Company,,lillian a. easterlin,2016,,,189610,0.1479
QUEENSBOROUGH NATIONAL BANK & TRUST COMPANY,,lillian a. easterlin,2017,960935,,189895,0.1411
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2014,3815157,Common Stock,14970933,0.1059
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2014,3815157,RSUs on Common Stock,22326,0.0002
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2015,3815157,Common Stock,14887837,0.1041
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2015,3815157,RSUs on Common Stock,19313,0.0001
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2016,3815157,Common Stock,14707270,0.10369999999999999
"Raymond James Financial,Inc.","Director,Executive Chairman",thomas a. james,2016,3815157,RSUs on Common Stock,21194,0.0002
"Raymond James Financial,Inc.","Director,Chairman Emeritus",thomas a. james,2018,,Common Stock,113858145,0.09501799999999999
"Raymond James Financial,Inc.","Director,Chairman Emeritus",thomas a. james,2018,,RSU,20307,13.92
"Raymond James Financial,Inc.",,"the vanguard group,inc.",2019,,,6641286,0.08689999999999999
"Raymond James Financial,Inc.",,"the vanguard group,inc.",2019,,Common Stock,13783494,0.1
"Raymond James Financial,Inc.",,"the vanguard group,inc.",2019,,Synovus Common Stock,13469903,0.092
"Raymond James Financial,Inc.",,"the vanguard group,inc.",2019,,,8332705,0.10550000000000001
"Raymond James Financial,Inc.","Director,Chairman Emeritus",thomas a. james,2019,,Common Stock,13868166,0.1
"Raymond James Financial,Inc.",,"the vanguard group,inc.",2022,,,6932309,0.09050000000000001
"RBC,INC.",Director,glenn k. mayton,2019,"Inc.,430036",Common Stock,42519,0.08130000000000001
"RBC,INC.",Director,glenn k. mayton,2019,"Inc.,430036",Common Stock,7901,0.0151
"RBC,INC.",Director,glenn k. mayton,2020,"Inc.,430036",Common Stock,42519,0.08130000000000001
"RBC,INC.",Director,glenn k. mayton,2020,"Inc.,430036",Common Stock,7901,0.0151
"RBC,INC.",Director,glenn k. mayton,2022,"Inc.,430036",Common Stock,42519,0.08130000000000001
"RBC,INC.",Director,glenn k. mayton,2022,"Inc.,430036",Common Stock,7901,0.0151
"RBC,INC.",Director,glenn k. mayton,2023,"Inc.,n/a",Common Stock,42519,0.0812
"RBC,INC.",Director,glenn k. mayton,2023,"Inc.,n/a",Common Stock,7901,0.0151
RCB Financial Corporation,Director,michael w mathis,2014,,Common Stock,192213,0.0901
RCB Financial Corporation,Director,jarrett e. shadday,2015,,Common Stock,143436,0.0673
RCB Financial Corporation,Director,jarrett e. shadday,2020,,Common Stock,143436,0.067
RCB Financial Corporation,Director,jarrett e. shadday,2022,,shares of Common Stock issued and outstanding,143436,0.0673
Red Level Financial Corporation,Director and Vice President,lindel m. foshee,2014,2944 706,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2014,2944 706,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Treasurer,"robert h. foshee,iii",2014,2944 706,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Vice President,lindel m. foshee,2015,2944706,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2015,2944706,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Treasurer,"robert h. foshee,iii",2015,2944706,Common Stock,2909,0.1263
Red Level Financial Corporation,Chairman of the Board,"robert h. foshee,jr.",2016,2944706,Common Stock,9378,0.4071
Red Level Financial Corporation,Director and Vice President,lindel m. foshee,2016,2944706,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Vice Chairman of Board,lindel m. foshee,2016,2944706,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2016,2944706,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Treasurer,"robert h. foshee,iii",2016,2944706,Common Stock,2909,0.1263
Red Level Financial Corporation,President,"robert h. foshee,jr.",2017,,Common Stock,9378,0.4071
Red Level Financial Corporation,Director,lindel m. foshee,2017,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Vice President,lindel m. foshee,2017,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2017,,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Treasurer,"robert h. foshee,iii",2017,,Common Stock,2909,0.1263
Red Level Financial Corporation,President and Chairman of the Board,"robert h. foshee,jr.",2018,,Common Stock,9378,0.4071
Red Level Financial Corporation,Vice President and Vice Chairman of Board,lindel m. foshee,2018,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Chief Executive Officer,lewis m. foshee,2018,,Common Stock,2909,0.1263
Red Level Financial Corporation,Owner,"robert h. foshee,iii",2018,,Common Stock,2909,0.1263
Red Level Financial Corporation,Vice President,lindel m. foshee,2019,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Secretary,lewis m. foshee,2019,,Common Stock,2909,0.1263
Red Level Financial Corporation,Treasurer,"robert h. foshee,iii",2019,,Common Stock,2909,0.1263
Red Level Financial Corporation,Vice President,lindel m. foshee,2020,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2020,,Common Stock,2909,0.1263
Red Level Financial Corporation,Treasurer,"robert h. foshee,iii",2020,,Common Stock,2909,0.1263
Red Level Financial Corporation,Vice President,lindel m. foshee,2021,,Common Stock,7836,0.34020000000000006
Red Level Financial Corporation,Director and Secretary,lewis m. foshee,2021,,Common Stock,2909,0.1263
Red Level Financial Corporation,Director and Treasurer,"robert h. foshee,iii",2021,,Common Stock,2909,0.1263
"Red River Bancshares,Inc.",Director,teddy r. price,2014,,,194548,0.0611
"Red River Bancshares,Inc.",Director and Non - Executive Chairman,john c. simpson,2014,,,607120,0.1905
"Red River Bancshares,Inc.",Director,teddy r. price,2015,2743235,,194548,0.060899999999999996
"Red River Bancshares,Inc.",Director and Non-Executive Chairman,john c. simpson,2015,2743235,,607120,0.19
"Red River Bancshares,Inc.",Director,teddy r. price,2017,,,196348,0.0584
"Red River Bancshares,Inc.",Director and Non - Executive Chairman,john c. simpson,2017,,,612520,0.18230000000000002
"Red River Bancshares,Inc.",Director,teddy r. price,2018,,,392972,0.0593
"Red River Bancshares,Inc.",Director and Non -Executive Chairman,john c. simpson,2018,,,502820,0.0759
"Red River Bancshares,Inc.",Director,teddy r. price,2019,,,393324,0.0538
"Red River Bancshares,Inc.",Director and Non - Executive Chairman,john c. simpson,2019,,,409626,0.056100000000000004
"Red River Bancshares,Inc.",Director,teddy r. price,2020,,,405729,0.0554
"Red River Bancshares,Inc.",Director,teddy r. price,2021,,,424881,0.0592
"Red River Bancshares,Inc.",Director and Non - Executive Chairman,teddy r. price,2022,,,432758,0.0602
"Regent Bancorp,Inc.",Director,joel s. lawson iv,2015,2891006,Common,363636,0.08
"Relations Bancshares,Inc.",Director,richard mac mayers,2016,3569049,Common Stock,42080,0.08199
"Relations Bancshares,Inc.",Director,richard mac mayers,2018,,Common Stock,42080,0.08199
"Relations Bancshares,Inc.",Director,richard mac mayers,2019,C.I.,Common Stock,43182,0.08410000000000001
"Relations Bancshares,Inc.",Director,richard mac mayers,2020,,Common Stock,48182,0.09388
Bank of Brewton,President/Chairman of BHC and Director,jerry m. kelly,2016,1079236,,1,0.0062
Bank of Brewton,,kandace mcdaniel testamentary trust f/b/o charles mcdaniel,2016,1079236,,53,0.3272
Bank of Brewton,,"jerry m. kelly,jr.",2016,1079236,,37,0.2284
Bank of Brewton,,helen r. kelly,2016,1079236,,29,0.179
Bank of Brewton,,heather picardi,2016,1079236,,29,0.179
Bank of Brewton,President/Chairman of BHC and Director,jerry m. kelly,2021,,,1,0.0062
Bank of Brewton,,kandace mcdaniel testamentary trust f/b/o charles mcdaniel,2021,,,53,0.3272
Bank of Brewton,,"jerry m. kelly,jr.",2021,,,37,0.2284
Bank of Brewton,,helen r. sayre,2021,,,29,0.179
Bank of Brewton,,heather picardi,2021,,,29,0.179
Reserve Financial Associates LLC,Managing Member,zuheir sofia,2015,,,154483,0.1528
Business Bank of Florida Corp,Director,zuheir sofia,2015,Financial Advisory,,154483,0.1528
Reserve Financial Associates LLC,Managing Member,zuheir sofia,2016,3488234,,154483,0.1528
Business Bank of Florida Corp,Director,zuheir sofia,2016,3350461,,154483,0.1528
Reserve Financial Associates LLC,Managing Member,zuheir sofia,2018,,,154483,0.1528
Reserve Financial Associates LLC,Managing Member,zuheir sofia,2019,3488234,,154483,0.1528
Reserve Financial Associates LLC,Managing Member,zuheir sofia,2020,3488234,,154483,0.1528
Business Bank of Florida Corp,,zuheir sofia,2020,2896216,,154483,0.1528
"Commercial Bancgroup,Inc.","CEO & Chairman,Chairman",craig e. robertson,2015,497039,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.","CEO & Chairman,Chairman",craig e. robertson,2015,497039,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.","President,President",john adam robertson,2015,497039,Common Stock,5100.1375,0.24985
"Robertson Holding Company,LP","Co-General Partner,CEO & Chairman",craig e. robertson,2015,,Common Stock,5742.115,0.2813
"Robertson Holding Company,LP","Co-General Partner,CEO & Chairman",craig e. robertson,2015,,Common Stock,1117.59,0.0547
"Robertson Holding Company,LP",President,john adam robertson,2015,,Common Stock,5100.1375,0.24985
"Robertson Holding Company,LP",Accounting Clerk,craig e. robertson,2015,,Common Stock,5742.115,0.2813
"Robertson Holding Company,LP",Accounting Clerk,craig e. robertson,2015,,Common Stock,1117.59,0.0547
"Robertson Holding Company,LP",,craig e. robertson,2015,,Common Stock,5742.115,0.2813
"Robertson Holding Company,LP",,craig e. robertson,2015,,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.","CEO & Chairman,Co-General Partner",craig e. robertson,2017,497039,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.","CEO & Chairman,Co-General Partner",craig e. robertson,2017,497039,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.","President,Co- General Partner",john adam robertson,2017,497039,Common Stock,5100.1375,0.24985
"Commercial Bancgroup,Inc.",Limited Partner,craig e. robertson,2017,497039,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.",Limited Partner,craig e. robertson,2017,497039,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2017,497039,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2017,497039,Common Stock,1117.59,0.0547
Commercial Bank,CEO & Chairman,craig e. robertson,2018,497039,Common Stock,5742.115,0.2813
Commercial Bank,CEO & Chairman,craig e. robertson,2018,497039,Common Stock,1117.59,0.0547
Commercial Bank,President,john adam robertson,2018,497039,Common Stock,5100.1375,0.24985
Commercial Bank,CEO & Chairman,craig e. robertson,2020,497039,Common Stock,5742.115,0.2813
Commercial Bank,CEO & Chairman,craig e. robertson,2020,497039,Common Stock,1117.59,0.0547
Commercial Bank,President,john adam robertson,2020,497039,Common Stock,5100.1375,0.24985
Commercial Bank,Auditor,craig e. robertson,2020,497039,Common Stock,5742.115,0.2813
Commercial Bank,Auditor,craig e. robertson,2020,497039,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.",President,john adam robertson,2020,,Common Stock,5100.1375,0.24985
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2020,,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2020,,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2021,,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.",CEO & Chairman,craig e. robertson,2021,,Common Stock,1117.59,0.0547
"Commercial Bancgroup,Inc.",President,john adam robertson,2021,,Common Stock,5100.1375,0.24985
"Commercial Bancgroup,Inc.",Auditor,craig e. robertson,2021,,Common Stock,5742.115,0.2813
"Commercial Bancgroup,Inc.",Auditor,craig e. robertson,2021,,Common Stock,1117.59,0.0547
Bank of Brewton,President/Chairman of BHC and Director,jerry m. kelly,2017,1079236,common,1,0.0062
Bank of Brewton,,kandace mcdaniel testamentary trust f/b/o charles mcdaniel,2017,1079236,common,53,0.3272
Bank of Brewton,Principal Securities Holder,"jerry m. kelly,jr.",2017,1079236,common,37,0.2284
Bank of Brewton,,"jerry m. kelly,jr.",2017,1079236,common,37,0.2284
Bank of Brewton,Principal Securities Holder,helen r. sayre,2017,1079236,common,29,0.179
Bank of Brewton,Principal Securities Holder,heather picardi,2017,1079236,common,29,0.179
"Saint Francisville Bancshares,Inc.",Chairman of the Board President & CEO,h. carter leak iii,2014,1082544,,67583,0.34340000000000004
"Saint Francisville Bancshares,Inc.",Vice Chairman of the Board,w. conville lemoine,2014,1082544,,50325,0.2557
Bank of St Francisville,Chairman of the BoardPresident &CEO,h. carter leak iii,2017,,,67583,0.33880000000000005
Bank of St Francisville,ViceChairman of the BoardDirector,w. conville lemoine,2017,,,50325,0.2523
St. Francisville Bancshares Inc,Director,j. michael thompson,2023,,,16531,0.14730000000000001
St. Francisville Bancshares Inc,Director,"joseph w. yates,jr.",2023,,,10986,0.062400000000000004
"St. Landry Bancshares,Inc.",Director,"robert s. tomlinson,jr.",2018,885430,,42181,0.22010000000000002
"St. Landry Bancshares,Inc.",Vice Chairman Director,allen t. tomlinson,2018,885430,,54896,0.2865
"Saint Martin Bancshares,Inc.","Chairman,Director",emile j. barras,2015,1134359,,24698,0.11900000000000001
"Saint Martin Bancshares,Inc.",Chairman Director,emile j. barras,2016,841539,,24698,0.11900000000000001
"Sardis Bankshares,Inc.","Director,CEO and President",j. preston conner,2014,1141810,COMMON STOCK,4004,0.15
"Sardis Bankshares,Inc.",,"joe t. conner,jr.",2014,1141810,COMMON STOCK,6353,0.24
"Sardis Bankshares,Inc.",,rose warren,2014,1141810,COMMON STOCK,3733,0.14
"Sardis Bankshares,Inc.",Director,sandra c. long,2014,1141810,COMMON STOCK,5320,0.2046
"Sardis Bankshares,Inc.",,ann cline,2014,1141810,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.","Director,CEO and President",j. preston conner,2015,1141816,COMMON STOCK,4004,0.15
"SARDIS BANKSHARES,INC.",,"joe t. conner,jr.",2015,1141816,COMMON STOCK,6353,0.24
"SARDIS BANKSHARES,INC.",,rose warren,2015,1141816,COMMON STOCK,3733,0.14
"SARDIS BANKSHARES,INC.",Director,sandra c. long,2015,1141816,COMMON STOCK,5320,0.2046
"SARDIS BANKSHARES,INC.",,ann cline,2015,1141816,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.","Director,CEO",j. preston conner,2016,114/8/6,COMMON STOCK,3894,0.149769
"SARDIS BANKSHARES,INC.",,"joe t. conner,jr.",2016,114/8/6,COMMON STOCK,6353,0.24
"SARDIS BANKSHARES,INC.",,rose warren,2016,114/8/6,COMMON STOCK,3733,0.14
"SARDIS BANKSHARES,INC.",Director,sandra c. long,2016,114/8/6,COMMON STOCK,5320,0.2046
"SARDIS BANKSHARES,INC.",,ann cline,2016,114/8/6,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.",,"joe t. conner,jr.",2017,1141816,COMMON STOCK,6353,0.24
"SARDIS BANKSHARES,INC.",,rose warren,2017,1141816,COMMON STOCK,3733,0.14
"SARDIS BANKSHARES,INC.",,ann cline,2017,1141816,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.","Director,CEO and President",j. preston conner,2018,,COMMON STOCK,3894,0.149769
"SARDIS BANKSHARES,INC.",,"joe t. conner,jr.",2018,,COMMON STOCK,6353,0.24
"SARDIS BANKSHARES,INC.",,rose warren,2018,,COMMON STOCK,3733,0.14
"SARDIS BANKSHARES,INC.",,ann cline,2018,,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.",,michelle hargrove,2018,,COMMON STOCK,1773,0.0682
"SARDIS BANKSHARES,INC.","Director,CEO and President",j. preston conner,2019,,COMMON STOCK,3894,0.149769
"SARDIS BANKSHARES,INC.",Director,"joe t. conner,jr.",2019,,COMMON STOCK,6353,0.24
"SARDIS BANKSHARES,INC.",,rose warren,2019,,COMMON STOCK,3733,0.14
"SARDIS BANKSHARES,INC.",,ann cline,2019,,COMMON STOCK,2620,0.10099999999999999
"SARDIS BANKSHARES,INC.",,tonya dixon,2019,,COMMON STOCK,1773,0.0682
"SARDIS BANKSHARES,INC.",,michelle hargrove,2019,,COMMON STOCK,1773,0.0682
"SBT Bancorp,Inc.",Director,kenneth coggins,2015,,Common Stock,35184,0.0291
"SBT Bancorp,Inc.",Director,kenneth coggins,2015,,Warrants on Common Stock,29204,0.0242
"SBT Bancorp,Inc.",Director Secretary,james c. weidner,2015,,Common Stock,54111,0.044800000000000006
"SBT Bancorp,Inc.",Director Secretary,james c. weidner,2015,,Warrants on Common Stock,50000,0.0414
"SBT Bancorp,Inc.",,"gem industries,inc.",2015,,Common Stock,237135,0.19640000000000002
"SBT Bancorp,Inc",,"gem industries,inc.",2016,,Common Stock,237135,0.1961
"SBT Bancorp,Inc","Director,Secretary",james c. weidner,2018,,Common Stock,69111,0.054900000000000004
"SBT Bancorp,Inc",,"gem industries,inc.",2018,,Common Stock,237135,0.1906
"SBT Bancorp,Inc",Director Secretary,james c. weidner,2019,,Common Stock,69111,0.054900000000000004
"SBT Bancorp,Inc",Director,kenneth coggins,2014,3353275,Common Stock,35184,0.029300000000000003
"SBT Bancorp,Inc",Director,kenneth coggins,2014,3353275,Warrants on Common Stock,29204,0.023700000000000002
"SBT Bancorp,Inc",Director/Chairman,j. terry greene,2014,3353275,Common Stock,16000,0.013300000000000001
"SBT Bancorp,Inc",Director/Chairman,j. terry greene,2014,3353275,Warrants on Common Stock,45000,0.0361
"SBT Bancorp,Inc",Director Secretary,james c. weidner,2014,3353275,Common Stock,54111,0.0451
"SBT Bancorp,Inc",Director Secretary,james c. weidner,2014,3353275,Warrants on Common Stock,50000,0.04
"SBT Bancshares,Inc.","Director,Secretary",james b. cantrelle,2014,2145950,common stock,113784,0.2
"SBT Bancshares,Inc.","Director,Chairman",huey j. cheramie,2014,2145950,common stock,113784,0.2
"SBT Bancshares,Inc.",,janice chabert frazier,2014,2145950,common stock,56892,0.1
"SBT Bancshares,Inc.",,"janice chabert frazier,as usufructuary",2014,2145950,"ELDON JOSEPH FRAZIER EXEMPT TESTIMENTARY TRUST NAKED OWNER,common stock",56892,0.1
"SBT Bancshares,Inc.",,"mathew pitre,as trustee of the sbt bancshares",2014,2145950,"INC. VOTING TRUST,common stock",113784,0.2
"SBT Bancshares,Inc.","Director,Secretary",james b. cantrelle,2017,2145950,common stock,113784,0.2
"SBT Bancshares,Inc.","Director,Chairman",huey j. cheramie,2017,2145950,common stock,113784,0.2
"SBT Bancshares,Inc.",,janice chabert frazier,2017,2145950,common stock,56892,0.1
"SBT Bancshares,Inc.",,"janice chabert frazier,as usufructuary",2017,2145950,"ELDON JOSEPH FRAZIER EXEMPT TESTIMENTARY TRUST NAKED OWNER,common stock",56892,0.1
"SBT Bancshares,Inc.",,"mathew pitre,as trustee of the sbt bancshares",2017,2145950,"INC. VOTING TRUST,common stock",113784,0.2
State Bank & Trust Company,"DIRECTOR,SECRETARY",james b. cantrelle,2018,485139,common stock,113784,0.2
State Bank & Trust Company,NONE,janice chabert frazier,2018,485139,common stock,56892,0.1
State Bank & Trust Company,NONE,"janice chabert frazier,as usufructuary",2018,485139,"ELDON JOSEPH FRAZIER EXEMPT TESTIMENTARY TRUST NAKED OWNER,common stock",56892,0.1
State Bank & Trust Company,NONE,"mathew pitre,as trustee of the sbt bancshares",2018,RETIRED,"INC. VOTING TRUST,common stock",113784,0.2
"SBT Bancshares,Inc.","Director,Secretary",james b. cantrelle,2019,,common stock,113784,0.2
"SBT Bancshares,Inc.","Director,Chairman",huey j. cheramie,2019,,common stock,113784,0.2
"SBT Bancshares,Inc.",,janice chabert frazier,2019,,common stock,56892,0.1
"SBT Bancshares,Inc.",,"janice chabert frazier,as usufructuary",2019,,"ELDON JOSEPH FRAZIER EXEMPT TESTIMENTARY TRUST NAKED OWNER,common stock",56892,0.1
"SBT Bancshares,Inc.",Director,"mathew pitre,as trustee of the sbt bancshares",2019,,"INC. VOTING TRUST,common stock",113784,0.2
"SBT Bancshares,Inc.","DIRECTOR,SECRETARY",james b. cantrelle,2020,,common stock,113784,0.2
"SBT Bancshares,Inc.","DIRECTOR,CHAIRMAN",huey j. cheramie,2020,,common stock,113784,0.2
"SBT Bancshares,Inc.",,janice chabert frazier,2020,,common stock,56892,0.1
"SBT Bancshares,Inc.",,"janice chabert frazier,as usufructuary",2020,,"ELDON JOSEPH FRAZIER EXEMPT TESTIMENTARY TRUST NAKED OWNER,common stock",56892,0.1
"SBT Bancshares,Inc.",,"mathew pitre,as trustee of the sbt bancshares",2020,,"INC. VOTING TRUST,common stock",113784,0.2
"SBT Bancshares,Inc.",President,steve j. lefort,2022,,Common Stock,16531,0.14730000000000001
"SBT Bancshares,Inc.",Director,steve j. lefort,2022,,Common Stock,16531,0.14730000000000001
"SBT Bancshares,Inc.",Director,"boysie j. bollinger,jr.",2022,,Common Stock,10250,0.09140000000000001
"SBT Bancshares,Inc.",Director,robert j. naquin,2022,,Common Stock,6700,0.059800000000000006
"SBT Bancshares,Inc.",Director,robert j. naquin,2022,,Class A Voting Shares,1325,0.0118
"SBT Bancshares,Inc.",Director,mark danos,2022,,Common Stock,8796,0.0784
"SBT Bancshares,Inc.",Director,"warren j. plaisance,jr.",2022,,Common Stock,10000,0.0891
"SBT Bancshares,Inc.",Director,darrin j. duet,2022,,Common Stock,6283,0.055999999999999994
"SBT Bancshares,Inc.",Director,david a. chauvin,2022,,Common Stock,6413,0.0572
"SBT Bancshares,Inc.",Director,dwayne j. breerwood,2022,,Common Stock,10600,0.0946
"SBT Bancshares,Inc.",Director,dwayne j. breerwood,2022,,Class A Voting Shares,1156,0.0103
"Screven Bancshares,Inc.",Director,mary h. blackburn,2014,,COMMON STOCK,4100,0.0542
"Screven Bancshares,Inc.",Director,charles d. reed,2014,,COMMON STOCK,5859,0.0775
"Screven Bancshares,Inc.",Director,donald o. sheppard,2014,,COMMON STOCK,4228,0.0559
"Screven Bancshares,Inc.",,ruth b. bazemore,2014,,COMMON STOCK,4564,0.0603
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2015,1863239,COMMON STOCK,5859,0.0775
"SCREVEN BANCSHARES,INC.",Director,donald o. sheppard,2015,1863239,COMMON STOCK,4228,0.0559
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2016,1863239,COMMON STOCK,5977,0.0791
"SCREVEN BANCSHARES,INC.",Director,donald o. sheppard,2016,1863239,COMMON STOCK,4228,0.0559
"SCREVEN BANCSHARES,INC.",Director,mary h. blackburn,2017,,COMMON STOCK,4100,0.0542
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2017,,COMMON STOCK,5977,0.0791
"Screven Bancshares,Inc.",,mary h. blackburn,2018,,COMMON STOCK,4200,0.0542
"Screven Bancshares,Inc.",Director,charles d. reed,2018,,COMMON STOCK,5977,0.0791
"SCREVEN BANCSHARES,INC.",,mary h. blackburn,2019,,COMMON STOCK,4100,0.05423
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2019,,COMMON STOCK,5977,0.07905999999999999
"SCREVEN BANCSHARES,INC.",,charles d. reed,2019,,COMMON STOCK,5977,0.07905999999999999
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2020,,COMMON STOCK,5977,0.07905999999999999
"SCREVEN BANCSHARES,INC.",,mary h. blackburn,2021,,COMMON STOCK,4100,0.05423
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2021,,COMMON STOCK,5977,0.07905999999999999
"SCREVEN BANCSHARES,INC.",,charles d. reed,2021,,COMMON STOCK,5977,0.07905999999999999
"SCREVEN BANCSHARES,INC.",DIRECTOR AND PRESIDENT,hoke s. reeves,2022,,Common Stock,16531,0.14730000000000001
"SCREVEN BANCSHARES,INC.",Director,charles d. reed,2023,,COMMON STOCK,5977,0.07905999999999999
"Security Bancorp,Inc.",Director & President/CEO,joe h. pugh,2015,,Common Stock,40318,0.10460000000000001
"Security Bancorp,Inc.",Director & Chairman,robert w. newman,2015,,Common Stock,20118,0.052199999999999996
"Security Bancorp,Inc.",Director & President/CEO,joe h. pugh,2017,,Common Stock,40676,0.1057
"Security Bancorp,Inc.",Director,robert w. newman,2017,,Common Stock,20118,0.052300000000000006
"Security Bancorp,Inc.",Director & President/CEO,joe h. pugh,2018,631178,Common Stock,40679,0.1059
"Security Bancorp,Inc.",Director,robert w. newman,2018,631178,Common Stock,20118,0.0524
"Security Bancorp,Inc.",Director & President/CEO,joe h. pugh,2021,,Common Stock,41198,0.111
"Security Bancorp,Inc.",Director/Secretary,robert w. newman,2021,,Common Stock,20220,0.0545
"Security Bancorp,Inc.",Director & Chairman,joe h. pugh,2023,,Common Stock,42748,0.1153
