Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
"Lake Crystal Bancorporation,Inc.""""",Director,Jordan A. Smith,n/a,MinnStar Bank National Association,2023,Business Owner,n/a,n/a,n/a,"Lake Crystal Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Lakota Bank Holding Company, Inc._Y-6_2024-12-31T00_00_00_English",none
"Larch Bancorporation,Inc.""""",President of Security Savings Bank,Rodney B. Bonander,President/Director,n/a,2023,President/Director,26.973%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Secretary/Treasurer/Director,Lachlan M. Bonander,Attorney,"Bonander Law,P.C.""""",2023,Attorney,20.498%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,J. Mark Dominy,Trustee,Alexander S. Bonander 2010 Irrevocable Trust,2023,Retired,0.833%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Joel E. Klatt,n/a,n/a,2023,"Executive Vice President of Security Savings Bank,Market President of Security Savings Bank Canton""","SD"",0.177%""",1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director/Vice President,Jessie L. Knievel,n/a,n/a,2023,Housewife,4.483%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Katherine A. Morgan,Director/Assistant Secretary-Treasurer,"Bonander Law,P.C.""""",2023,Attorney,0.000%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Michael B. Bonander,n/a,Castellum Capital Management LLC,2023,Self Employed Investment Advisor,0.035%,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Donald E. Burwitz,n/a,n/a,2023,Executive Vice President and Chief Credit Officer of Security Savings Bank,n/a,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Alexander S. Bonander,n/a,n/a,2023,"Chief Financial Officer,Security Savings Bank""""",n/a,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",n/a,Alexander Bonander as Trustee of Katherine A. Bonander Irrevocable S Trust,n/a,n/a,2023,n/a,n/a,1206658,15.955%,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",n/a,"Dean Goettsch,as Trustee of Michael B. Bonander 2010 Irrevocable Trust""""",n/a,n/a,2023,Retired,n/a,1206658,15.455%,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",n/a,J. Mark Dominy as Trustee of Alexander S. Bonander 2010 Irrevocable Trust,n/a,n/a,2023,n/a,n/a,1206658,15.455%,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Donald Klosterbuer,Partner,Klosterbuer & Haubrich LLP,2023,Attorney,n/a,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
"Larch Bancorporation,Inc.""""",Director,Dean Goettsch,n/a,LDJ Properties LLC,2023,Retired,n/a,1206658,n/a,"Larch Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Leighton Investment Company_Y-6_2023-12-31T00_00_00_English,none
LIBERTY BANCORPORATION,INC.,PRESIDENT,RANDALL STREIFEL,n/a,n/a,2024,n/a,n/a,1126569,Liberty Bancorporation_Y-6_2024-12-31T00_00_00_English,insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Lincoln Holding Company_Y-6_2023-12-31T00_00_00_English,none
LINCOLN HOLDING COMPANY,President,Valerie Anderson,n/a,n/a,2024,n/a,n/a,1496244,n/a,Lincoln Holding Company_Y-6_2024-12-31T00_00_00_English,insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Linden Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",none
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Limited Partner,"Mission-Heights Enterprises,Ltd""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Member and Manager,"Mission-Heights,LLC""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Partner,M & S Partners,2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Manager,"602 Sawyer/MH,LLC""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Limited Partner,"Mission-Heights Capital,Ltd""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Director,"Odem Bancshares,Inc.""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Director,First State Bank of Odem,2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Chairman of the Board / Director,Stuart D. Saunders,Manager,"Mission-Heights N240KA,LLC""""",2023,Investments,6.43%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Minor Child,n/a,n/a,2023,Minor,3.58%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Minor Child,n/a,n/a,2023,Minor,3.58%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Minor Child,n/a,n/a,2023,Minor,3.58%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Minor Child,n/a,n/a,2023,Minor,3.58%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Lee Farrell Harris Saunders,n/a,n/a,2023,Homemaker,3.47%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Novia Kinsel Harris,n/a,n/a,2023,Retired,18.41%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,James D. Pawlik,President,Pawlik's Supply Co.,2023,Retail Merchant,11.50%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,James D. Pawlik,Member,J & J Pawlik Minerals Ltd,2023,Retail Merchant,11.50%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,James D. Pawlik,Member,J & J Pawlik Investments LLC,2023,Retail Merchant,11.50%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,James D. Pawlik,President,"James Pawlik Water Well Services,Inc""""",2023,Retail Merchant,11.50%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,James D. Pawlik,Member,J & J Pawlik Land Ltd,2023,Retail Merchant,11.50%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Janet S. Pawlik,n/a,n/a,2023,Homemaker,5.29%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,Mike Laux,Owner,Mike Laux Consulting,2023,Consultant,1.13%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,David L. West,President,"CTX Restaurants,Inc""""",2023,Restaurant and Convenience Store Owner,1.61%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,David L. West,President,"Four W Restaurants,Inc""""",2023,Restaurant and Convenience Store Owner,1.61%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,David L. West,President,"Jim West Enterprises,Inc""""",2023,Restaurant and Convenience Store Owner,1.61%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,"William M. Holland,IV""""",n/a,n/a,2023,Doctor,2.68%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,"William M. Holland,III""""",Partner,William Murray Holland Joint Venture,2023,Rancher,3.27%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,"William M. Holland,III""""",President,Billana Holding,2023,Rancher,3.27%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,"William M. Holland,III""""",Co-Trustee,William Holland & Lana Holland Revocable Trust,2023,Rancher,3.27%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director,"William M. Holland,III""""",Partner,Houdmann LP,2023,Rancher,3.27%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,"William Appell,Jr.""""",n/a,n/a,2023,Attorney,1.19%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Lana Jean Holland,Co-Trustee,William Holland & Lana Holland Revocable Trust,2023,Housewife,3.27%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Marlana Holland Mauer,n/a,n/a,2023,Teacher,2.68%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Principal,Diana Giesler,n/a,n/a,2023,Housewife,0.67%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Senior Vice President,Denise Maurer Garza,n/a,n/a,2023,Banker,0.32%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Director / President / Treasurer,Steve H.Jackson,Trustee,Steven H. Jackson Trust,2023,Banker,1.66%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Vice President,Michelle Benoit,n/a,n/a,2023,Banker,0.00%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Vice President,Elizabeth Urbanczyk,n/a,n/a,2023,Banker,0.00%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Vice President,Andree Stagg,Member,SV Physician Properties LLP,2023,Banker,0.32%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
Live Oak Bancshares Corporation,Vice President,Terri Denny,n/a,n/a,2023,Banker,0.00%,n/a,0.00%,Live Oak Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Lizton Financial Corporation_Y-6_2023-12-31T00_00_00_English,none
"Lockhart Bankshares,Inc.""""",Director and President,Mark W. Sheffield,n/a,"Chisos Investment,LLC""""",2023,Banker,0.454%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Chairman and Director,Jeffry Y. Michelson,n/a,Michelson Investments LLC,2023,Automobile Dealer,0.875%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Vice Chairman and Director,Fred Moore,n/a,n/a,2023,Retired Judge,13.930%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Carl R. Ohlendorf,n/a,Countywide Realty,2023,Insurance Agent,4.379%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Countywide Realty,L.P.""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Countywide,L.P.""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Smith Pearce Investments,LP""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Smith Inventory,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,Jim Smith Rental. LLC,2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Jack Pearce,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"200 Colorado,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"300 Commerce,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Smith Pearce Management,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"Five Oaks,LLC""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Amelia P. Smith,n/a,"James W Smith JR,Ins Trust""""",2023,Realtor,2.109%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Christopher Dailey,n/a,"Dailey Services,Inc.""""",2023,Electrical Contractor,7.233%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Christopher Dailey,n/a,"Dailey Company,Inc""""",2023,Electrical Contractor,7.233%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Director,Tim Clark,n/a,Lockhart Motor Co.,2023,Auto Dealer,0.454%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Treasurer,Randall Till,n/a,n/a,2023,Banker,0.00%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Lockhart Bankshares,Inc.""""",Secretary,Natalie Cain,n/a,n/a,2023,Banker,0.00%,n/a,n/a,"Lockhart Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,MICHAEL L LAWRENCE,CFO/TREASURER,ALAMANCE FARMERS' INSURANCE COMPANY,2023,CFO/TREASURER,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,"WILLIE T CLOSS,JR""""",FINANCIAL CONSULTANT,"STEWART INVESTMENT PROPERTIES,INC""""",2023,FINANCIAL CONSULTANT,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,JAMES A STEWART,BROKER/CONSULTANT,"MAJAJA,INC""""",2023,BROKER/CONSULTANT,NONE,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,JAMES A STEWART,BROKER/CONSULTANT,CLEARVIEW HOUSING CORP,2023,BROKER/CONSULTANT,NONE,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,JAMES A STEWART,BROKER/CONSULTANT,"CLEARVIEW COMMERCIAL PROP,LLC""""",2023,BROKER/CONSULTANT,NONE,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,JAMES A STEWART,BROKER/CONSULTANT,"CAMELLIA ASSOCIATES,LLC""""",2023,BROKER/CONSULTANT,NONE,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,ALLEN M CHAN,MANAGING DIRECTOR,DIVERSIFIED SEARCH GROUP,2023,RETIRED MANAGEMENT CONSULTANT,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,DIRECTOR,CONNIE J. WHITE,n/a,n/a,2023,n/a,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,PRESIDENT/CEO/DIRECTOR,"JAMES H. SILLS,III""""",DIRECTOR,SECONDARY BREAK CLUB,2023,N/A,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,PRESIDENT/CEO/DIRECTOR,"JAMES H. SILLS,III""""",DIRECTOR,"HS VERIFICATION,LLC""""",2023,N/A,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,EVP/CFO,RANDALL C. HALL,n/a,n/a,2023,N/A,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
M&F BANCORP,INC,SVP/CHIEF LEGAL OFFICER/CORP SEC/COMPLIANCE OFFICER,VALERIE M. QUIETT,n/a,n/a,2023,N/A,Less than 1% of Company's o/s stock,n/a,"M&F Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
"MCNB BANKS,INC.""""","Director,Chairman""""",Ronald D. Hassan,Attorney,Hassan Law,2023,Attorney/Hassan Law,1,n/a,100%,"MCNB Banks, Inc._Y-6_2023-12-31T00_00_00_English",both
"MCNB BANKS,INC.""""","Director,Chairman""""",William Horne,Owner,Horne Holdings LLC,2023,Owner,2,n/a,100%,"MCNB Banks, Inc._Y-6_2023-12-31T00_00_00_English",both
"MCNB BANKS,INC.""""","President & CEO,Director & Secretary & Treasurer""""",John P. Reed,n/a,N/A,2023,President & CEO,1,n/a,N/A,"MCNB Banks, Inc._Y-6_2023-12-31T00_00_00_English",both
"MCNB BANKS,INC.""""",Director,Martha Callaway,Volunteer Coordinator,Welch Community Hospital,2023,Volunteer Coordinator,1,n/a,N/A,"MCNB Banks, Inc._Y-6_2023-12-31T00_00_00_English",both
MAPLE BANC SHARES,INC.,n/a,n/a,n/a,n/a,2024,n/a,n/a,1123812,"Maple Banc Shares, Inc._Y-6_2024-12-31T00_00_00_English",insiders
MARINE BANCSHARES,INC.,n/a,n/a,n/a,n/a,2024,n/a,n/a,2734028,"Marine Bancshares, Inc._Y-6_2024-12-31T00_00_00_English",insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Market Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Matson Financial, Inc._Y-6_2023-12-31T00_00_00_English",none
MIDWEST BANK GROUP,INC.,Vice President,Stephen D. Daggett,n/a,n/a,2024,n/a,n/a,1125580,"Midwest Bank Group, Inc._Y-6_2024-12-31T00_00_00_English",insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Noble Bank Holding Company, Inc._Y-6_2024-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Norbanc Group Inc._Y-6_2024-12-31T00_00_00_English,none
NORTH STATE BANCSHARES,INC.,CHAIRMAN,L. LEE MADETZKE,n/a,n/a,2024,n/a,n/a,2130303,"North State Bancshares, Inc._Y-6_2024-12-31T00_00_00_English",insiders
NORTHERN FINANCIAL CORPORATION,Treasurer,Theresa Dean,n/a,n/a,2024,n/a,n/a,1121724,n/a,Northern Financial Corporation_Y-6_2024-12-31T00_00_00_English,insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Northern Wisconsin Bank Holding Company, Inc._Y-6_2023-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Northern Wisconsin Bank Holding Company, Inc._Y-6_2024-12-31T00_00_00_English",none
"Oak Ridge Bancshares,Inc.""""","Director,Bank of Oak Ridge""","Director"",Paige B. Oliver""",n/a,n/a,2023,Banker,1.43%,n/a,n/a,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Co-owner,Larkin Farms""",Owner,T.W. Barham Farm,LLC,Owner,T.W. Barham,LLC,Owner,Oak Ridge Offices,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Co-owner,Larkin Farms""",Owner,T.W. Barham Farm,LLC,Owner,T.W. Barham,LLC,Owner,Oak Ridge Offices,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Director,Bank of Oak Ridge""""",Anderson W. Barham,n/a,n/a,2023,Farmer,1.39%,n/a,n/a,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Director,Bank of Oak Ridge""","Director"",Clint Edwin Shepard II""",n/a,n/a,2023,Farmer,8.59%,n/a,n/a,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Partner,MS Trucking""",LLC,Owner,"Scott Shepard Farms"",Scott F. Shepard""",n/a,"MS Trucking,LLC""""",2023,Farmer,0.44%,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Partner,MS Trucking""",LLC,Owner,"Scott Shepard Farms"",Scott F. Shepard""",n/a,Scott Shepard Farms,2023,Farmer,0.44%,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Owner,Plano Planting Co.""",Partner,Double S Investments,LLC,Owner,Lucky 13 Farms,"Inc."",Claire Shepard""",n/a,"Double S Investments,LLC""""","Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Owner,Plano Planting Co.""",Partner,Double S Investments,LLC,Owner,Lucky 13 Farms,"Inc."",Claire Shepard""",n/a,Plano Planting Co.,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Owner,Plano Planting Co.""",Partner,Double S Investments,LLC,Owner,Lucky 13 Farms,"Inc."",Claire Shepard""",n/a,"Lucky 13 Farms,Inc.""""","Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Oak Ridge Bancshares,Inc.""""","Prinipal owner,VSB Farms""",Partner,Robertson Produce,Partner,New Ingleside Farming Co. II,Member,RBB Farms,LLC,Member,"Oak Ridge Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
